state,year,week,cases_accum
Coahuila,2013,25,136.0
Colima,2013,25,0.0
Chiapas,2013,25,0.0
Chihuahua,2013,25,2.0
Distrito Federal,2013,25,0.0
Durango,2013,25,0.0
Guanajuato,2013,25,4.0
Guerrero,2013,25,5.0
Hidalgo,2013,25,0.0
Jalisco,2013,25,1.0
México,2013,25,1.0
Michoacán,2013,25,47.0
Morelos,2013,25,3.0
Nayarit,2013,25,0.0
Nuevo León,2013,25,12.0
Oaxaca,2013,25,0.0
Puebla,2013,25,0.0
Querétaro,2013,25,0.0
Quintana Roo,2013,25,0.0
San Luis Potosí,2013,25,0.0
Sinaloa,2013,25,10.0
Sonora,2013,25,39.0
Tabasco,2013,25,0.0
Tamaulipas,2013,25,0.0
Tlaxcala,2013,25,0.0
Veracruz,2013,25,0.0
Yucatán,2013,25,0.0
Zacatecas,2013,25,1.0
Aguascalientes,2013,26,0.0
Baja California,2013,26,338.0
Baja California Sur,2013,26,37.0
Campeche,2013,26,2.0
Coahuila,2013,26,137.0
Colima,2013,26,0.0
Chiapas,2013,26,0.0
Chihuahua,2013,26,2.0
Distrito Federal,2013,26,0.0
Durango,2013,26,0.0
Guanajuato,2013,26,4.0
Guerrero,2013,26,5.0
Hidalgo,2013,26,0.0
Jalisco,2013,26,1.0
México,2013,26,1.0
Michoacán,2013,26,47.0
Morelos,2013,26,3.0
Nayarit,2013,26,0.0
Nuevo León,2013,26,12.0
Oaxaca,2013,26,0.0
Puebla,2013,26,0.0
Querétaro,2013,26,0.0
Quintana Roo,2013,26,0.0
San Luis Potosí,2013,26,0.0
Sinaloa,2013,26,10.0
Sonora,2013,26,41.0
Tabasco,2013,26,0.0
Tamaulipas,2013,26,0.0
Tlaxcala,2013,26,0.0
Veracruz,2013,26,0.0
Yucatán,2013,26,0.0
Zacatecas,2013,26,1.0
Aguascalientes,2013,27,0.0
Baja California,2013,27,349.0
Baja California Sur,2013,27,37.0
Campeche,2013,27,2.0
Coahuila,2013,27,146.0
Colima,2013,27,0.0
Chiapas,2013,27,0.0
Chihuahua,2013,27,2.0
Distrito Federal,2013,27,0.0
Durango,2013,27,0.0
Guanajuato,2013,27,4.0
Guerrero,2013,27,5.0
Hidalgo,2013,27,0.0
Jalisco,2013,27,1.0
México,2013,27,1.0
Michoacán,2013,27,48.0
Morelos,2013,27,3.0
Nayarit,2013,27,0.0
Nuevo León,2013,27,12.0
Oaxaca,2013,27,0.0
Puebla,2013,27,0.0
Querétaro,2013,27,0.0
Quintana Roo,2013,27,0.0
San Luis Potosí,2013,27,0.0
Sinaloa,2013,27,10.0
Sonora,2013,27,41.0
Tabasco,2013,27,0.0
Tamaulipas,2013,27,0.0
Tlaxcala,2013,27,0.0
Veracruz,2013,27,0.0
Yucatán,2013,27,0.0
Zacatecas,2013,27,1.0
Aguascalientes,2013,28,0.0
Baja California,2013,28,357.0
Baja California Sur,2013,28,37.0
Campeche,2013,28,2.0
Coahuila,2013,28,147.0
Colima,2013,28,0.0
Chiapas,2013,28,0.0
Chihuahua,2013,28,2.0
Distrito Federal,2013,28,0.0
Durango,2013,28,0.0
Guanajuato,2013,28,4.0
Guerrero,2013,28,5.0
Hidalgo,2013,28,0.0
Jalisco,2013,28,1.0
México,2013,28,1.0
Michoacán,2013,28,53.0
Morelos,2013,28,3.0
Nayarit,2013,28,0.0
Nuevo León,2013,28,12.0
Oaxaca,2013,28,0.0
Puebla,2013,28,0.0
Querétaro,2013,28,0.0
Quintana Roo,2013,28,0.0
San Luis Potosí,2013,28,0.0
Sinaloa,2013,28,10.0
Sonora,2013,28,41.0
Tabasco,2013,28,0.0
Tamaulipas,2013,28,0.0
Tlaxcala,2013,28,0.0
Veracruz,2013,28,0.0
Yucatán,2013,28,0.0
Zacatecas,2013,28,1.0
Aguascalientes,2013,29,0.0
Baja California,2013,29,359.0
Baja California Sur,2013,29,37.0
Campeche,2013,29,2.0
Coahuila,2013,29,151.0
Colima,2013,29,0.0
Chiapas,2013,29,0.0
Chihuahua,2013,29,2.0
Distrito Federal,2013,29,0.0
Durango,2013,29,0.0
Guanajuato,2013,29,4.0
Guerrero,2013,29,5.0
Hidalgo,2013,29,0.0
Jalisco,2013,29,1.0
México,2013,29,1.0
Michoacán,2013,29,55.0
Morelos,2013,29,3.0
Nayarit,2013,29,0.0
Nuevo León,2013,29,12.0
Oaxaca,2013,29,0.0
Puebla,2013,29,0.0
Querétaro,2013,29,0.0
Quintana Roo,2013,29,0.0
San Luis Potosí,2013,29,0.0
Sinaloa,2013,29,10.0
Sonora,2013,29,45.0
Tabasco,2013,29,0.0
Tamaulipas,2013,29,0.0
Tlaxcala,2013,29,0.0
Veracruz,2013,29,0.0
Yucatán,2013,29,0.0
Zacatecas,2013,29,1.0
